vl_cnpj;optante_simples;optante_simei
3,86557E+12;TRUE;FALSE
3,8808E+12;FALSE;FALSE
3,88764E+12;TRUE;FALSE
3,89335E+12;null;null
3,90096E+12;FALSE;FALSE
3,90494E+12;TRUE;FALSE
3,91948E+12;FALSE;FALSE
3,9218E+12;FALSE;FALSE
3,92567E+12;FALSE;FALSE
3,93132E+12;TRUE;FALSE
3,93294E+12;FALSE;FALSE
3,93897E+12;FALSE;FALSE
3,94226E+12;FALSE;FALSE
3,94615E+12;TRUE;FALSE
3,94633E+12;FALSE;FALSE
3,94951E+12;FALSE;FALSE
3,95671E+12;FALSE;FALSE
3,97556E+12;null;null
3,98343E+12;FALSE;FALSE
3,98777E+12;TRUE;FALSE
3,99131E+12;FALSE;FALSE
3,99292E+12;FALSE;FALSE
3,9961E+12;TRUE;FALSE
4,00834E+12;null;null
4,01294E+12;TRUE;FALSE
4,01937E+12;FALSE;FALSE
4,0195E+12;FALSE;FALSE
4,02314E+12;FALSE;FALSE
4,03018E+12;FALSE;FALSE
4,03121E+12;FALSE;FALSE
4,03126E+12;TRUE;FALSE
4,0343E+12;FALSE;FALSE
4,04196E+12;FALSE;FALSE
4,05673E+12;null;null
4,05909E+12;TRUE;FALSE
4,06579E+12;FALSE;FALSE
4,07913E+12;FALSE;FALSE
4,08423E+12;FALSE;FALSE
4,08596E+12;TRUE;FALSE
4,08707E+12;null;null
4,09824E+12;TRUE;FALSE
4,09989E+12;FALSE;FALSE
4,10025E+12;TRUE;FALSE
4,10594E+12;FALSE;FALSE
4,11119E+12;FALSE;FALSE
4,11824E+12;TRUE;FALSE
4,13694E+12;null;null
4,14945E+12;FALSE;FALSE
4,15122E+12;TRUE;FALSE
4,16536E+12;FALSE;FALSE
4,17204E+12;FALSE;FALSE
4,1788E+12;FALSE;FALSE
4,19338E+12;FALSE;FALSE
4,19358E+12;TRUE;FALSE
4,19522E+12;TRUE;FALSE
4,19705E+12;FALSE;FALSE
4,1974E+12;TRUE;FALSE
4,21978E+12;FALSE;FALSE
4,2276E+12;FALSE;FALSE
4,22899E+12;FALSE;FALSE
4,23606E+12;FALSE;FALSE
