cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
4,26835E+13;2021-07-12;true;8599699;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE EDUCACAO;SERVICOS;37470000;SAO LOURENCO;MG;SUDESTE;SUL SUDOESTE DE MINAS;ATIVA
8,2953E+12;2006-06-29;true;7020400;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL EXCETO CONSULTORIA TECNICA ESPECIFICA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;4013003;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
2,39885E+11;1994-10-10;true;4732600;COMERCIO VAREJISTA DE LUBRIFICANTES;VAREJO;COMERCIO;9921030;DIADEMA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
4,37589E+13;2021-10-04;true;8219999;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;95050170;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;ATIVA
1,85481E+13;2013-07-24;true;9001902;PRODUCAO MUSICAL;SERVICOS DIVERSOS;SERVICOS;57955000;MARAGOGI;AL;NORDESTE;LESTE ALAGOANO;ATIVA
4,05381E+13;2021-01-25;true;5611204;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;15880000;TABAPUA;SP;SUDESTE;SAO JOSE DO RIO PRETO;ATIVA
4,05682E+13;2021-01-26;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;13490000;CORDEIROPOLIS;SP;SUDESTE;PIRACICABA;ATIVA
9,16785E+12;2007-10-03;true;4930202;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE;SERVICOS;1215010;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
5,3484E+13;2011-04-14;false;8299799;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;13073027;CAMPINAS;SP;SUDESTE;CAMPINAS;ATIVA
3,68401E+13;1991-07-17;true;4771704;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;VAREJO;COMERCIO;77006022;PALMAS;TO;NORTE;ORIENTAL DO TOCANTINS;ATIVA
7,02877E+12;2004-09-14;true;4731800;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;82920120;CURITIBA;PR;SUL;METROPOLITANA DE CURITIBA;ATIVA
3,23188E+13;2018-12-27;true;4520006;SERVICOS DE BORRACHARIA PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;18650000;SAO MANUEL;SP;SUDESTE;BAURU;ATIVA
1,0357E+13;2008-08-05;true;2222600;FABRICACAO DE EMBALAGENS DE MATERIAL PLASTICO;QUIMICA-PETROQUIMICA;INDUSTRIA;18530000;TIETE;SP;SUDESTE;PIRACICABA;ATIVA
5,47154E+13;1989-10-12;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;17519330;MARILIA;SP;SUDESTE;MARILIA;ATIVA
3,92593E+13;2020-09-30;true;5611205;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS COM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;26180020;BELFORD ROXO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,09493E+13;2014-08-06;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;73890000;FLORES DE GOIAS;GO;CENTRO-OESTE;LESTE GOIANO;ATIVA
9,17261E+13;1987-11-17;true;4759899;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;91920520;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
3,44499E+13;2019-08-06;true;4520007;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;5885270;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
3,48124E+13;2019-09-10;true;4729699;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;21650190;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,63263E+13;2016-10-10;true;5920100;ATIVIDADES DE GRAVACAO DE SOM E DE EDICAO DE MUSICA;TELECOM;SERVICOS;13073055;CAMPINAS;SP;SUDESTE;CAMPINAS;ATIVA
3,61097E+13;2020-01-23;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;86036452;LONDRINA;PR;SUL;NORTE CENTRAL PARANAENSE;ATIVA
4,21867E+13;2021-06-02;true;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;SERVICOS DE SAUDE;SERVICOS;5007000;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
8,59235E+12;2007-01-31;false;113000;CULTIVO DE CANA DE ACUCAR;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;15495000;RIOLANDIA;SP;SUDESTE;SAO JOSE DO RIO PRETO;ATIVA
3,95348E+13;2020-10-23;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;11740000;ITANHAEM;SP;SUDESTE;LITORAL SUL PAULISTA;ATIVA
1,01458E+13;2008-07-11;true;2592601;FABRICACAO DE PRODUTOS DE TREFILADOS DE METAL PADRONIZADOS;SIDERURGICA-METALURGIA;INDUSTRIA;89120000;TIMBO;SC;SUL;VALE DO ITAJAI;ATIVA
4,73009E+13;2022-07-26;true;8230001;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;SERVICOS ADMINISTRATIVOS;SERVICOS;74370469;GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;ATIVA
2,82651E+13;2017-07-26;true;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;29830000;NOVA VENECIA;ES;SUDESTE;NOROESTE ESPIRITO SANTENSE;ATIVA
3,841E+13;2020-09-10;true;4751201;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;COMERCIO;20010120;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,82739E+13;2017-07-27;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;58035190;JOAO PESSOA;PB;NORDESTE;MATA PARAIBANA;ATIVA
