vl_cnpj;nivel_atividade;empresa_porte;saude_tributaria
3,81969E+13;MEDIO;MEI;Não Cadastrado
4,08918E+13;ALTO;MEI;Não Cadastrado
4,37765E+13;ALTO;GRANDE;AMARELA
4,52361E+13;ALTO;MEI;Não Cadastrado
4,53035E+13;MEDIO;MICRO;Não Cadastrado
4,53455E+13;ALTO;MICRO;Não Cadastrado
4,73948E+13;Não Cadastrado;MEI;Não Cadastrado
4,96699E+13;ALTO;GRANDE;VERDE
5,94188E+13;ALTO;GRANDE;VERDE
6,05001E+13;ALTO;GRANDE;VERMELHO
6,05438E+13;ALTO;GRANDE;VERDE
6,08401E+13;ALTO;GRANDE;AMARELA
6,09336E+13;ALTO;GRANDE;VERMELHO
6,1022E+13;ALTO;GRANDE;VERMELHO
6,11867E+13;ALTO;GRANDE;CINZA
6,13515E+13;ALTO;GRANDE;VERMELHO
6,20029E+13;ALTO;GRANDE;CINZA
6,49043E+13;ALTO;GRANDE;VERMELHO
7,53153E+13;ALTO;GRANDE;VERMELHO
8,26406E+13;ALTO;GRANDE;VERDE
8,46834E+13;ALTO;GRANDE;VERDE
8,90965E+13;ALTO;GRANDE;VERDE
9,2693E+13;ALTO;GRANDE;VERDE
9,27912E+13;ALTO;GRANDE;VERMELHO
191;ALTO;GRANDE;VERDE
2,42184E+11;MEDIO;MEDIA;AMARELA
1,54583E+12;ALTO;GRANDE;AMARELA
1,83872E+12;ALTO;GRANDE;VERMELHO
1,97161E+12;ALTO;GRANDE;CINZA
3,37852E+12;ALTO;GRANDE;VERDE
3,75832E+12;ALTO;GRANDE;CINZA
7,04725E+12;ALTO;GRANDE;VERDE
8,07885E+12;ALTO;GRANDE;VERDE
8,15997E+12;ALTO;GRANDE;VERDE
8,46712E+12;ALTO;GRANDE;AMARELA
8,80743E+12;ALTO;GRANDE;CINZA
9,04117E+12;ALTO;GRANDE;VERDE
9,04282E+12;MEDIO;GRANDE;VERDE
9,28825E+12;ALTO;GRANDE;VERDE
1,02856E+13;ALTO;GRANDE;CINZA
1,08359E+13;ALTO;GRANDE;VERDE
1,1422E+13;MEDIO;GRANDE;CINZA
1,21089E+13;MEDIO;GRANDE;CINZA
1,71938E+13;ALTO;GRANDE;CINZA
1,72811E+13;ALTO;GRANDE;VERMELHO
